sample_name	amplicon_number	amplicon_decomposition_class	ecDNA+	BFB+	ecDNA_amplicons
BS_JGKRN7NA	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_JGKRN7NA	amplicon2	Complex-non-cyclic	None detected	None detected	0
BS_JGKRN7NA	amplicon3	Linear	None detected	None detected	0
BS_XMP9XNR9	amplicon1	Linear	None detected	None detected	0
BS_XMP9XNR9	amplicon2	Complex-non-cyclic	None detected	None detected	0
BS_FKQ7F6D1	amplicon1	Linear	None detected	None detected	0
BS_FKQ7F6D1	amplicon2	Cyclic	Positive	None detected	1
BS_FKQ7F6D1	amplicon3	Linear	None detected	None detected	0
BS_M4E4H6NG	amplicon1	Cyclic	Positive	None detected	1
BS_3BMGF6GN	amplicon1	Cyclic	Positive	None detected	1
BS_W2QCHQ7E	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_TF5TTEXH	amplicon1	Cyclic	Positive	None detected	1
BS_WPCBK1EG	amplicon1	Cyclic	Positive	None detected	1
BS_WPCBK1EG	amplicon2	Complex-non-cyclic	None detected	None detected	0
BS_J6VRW67C	amplicon1	No amp/Invalid	None detected	None detected	0
BS_5R0HHQ1Y	amplicon1	Linear	None detected	None detected	0
BS_10AD3EFX	amplicon1	Linear	None detected	None detected	0
BS_ZKZACPVV	amplicon1	No amp/Invalid	None detected	None detected	0
BS_0XD58YD9	amplicon1	No amp/Invalid	None detected	None detected	0
BS_41TD9XET	amplicon1	Linear	None detected	None detected	0
BS_VPGCVSYB	amplicon1	No amp/Invalid	None detected	None detected	0
BS_TZPJHKQR	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_32JF8TPP	amplicon1	Linear	None detected	None detected	0
BS_XHAQXDR0	amplicon1	Linear	None detected	None detected	0
BS_RGSJMSRE	amplicon1	Linear	None detected	None detected	0
BS_KH0NFCWF	amplicon1	No amp/Invalid	None detected	None detected	0
BS_05S9WJW6	amplicon1	Linear	None detected	None detected	0
BS_NMQTPVFW	amplicon1	Linear	None detected	None detected	0
BS_5KFAEMQJ	amplicon1	Cyclic	Positive	None detected	1
BS_TNQKJZCP	amplicon1	Cyclic	Positive	None detected	1
BS_1CZPVCXR	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_F8KR1QWE	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_F8KR1QWE	amplicon2	Cyclic	Positive	None detected	1
BS_3CG2N4PD	amplicon1	Cyclic	Positive	None detected	1
BS_BX8AR74E	amplicon1	Linear	None detected	None detected	0
BS_BX8AR74E	amplicon2	Cyclic	Positive	None detected	1
BS_E1VJCEWB	amplicon1	Cyclic	Positive	None detected	1
BS_CKX0R5FN	amplicon1	Cyclic	Positive	None detected	1
BS_CKX0R5FN	amplicon2	Cyclic	Positive	None detected	1
BS_P99S85CY	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_P99S85CY	amplicon2	Cyclic	Positive	None detected	1
BS_W3R2DQ86	amplicon1	Linear	None detected	None detected	0
BS_A4KYP5H0	amplicon1	Cyclic	Positive	None detected	1
BS_G4EX0H98	amplicon1	Cyclic	Positive	None detected	1
BS_N4B3WB8W	amplicon1	Cyclic	Positive	None detected	1
BS_KRYYDC2X	amplicon1	Linear	None detected	None detected	0
BS_3J4T2YYW	amplicon1	No amp/Invalid	None detected	None detected	0
BS_ZV21J6YW	amplicon1	Cyclic	Positive	None detected	1
BS_2J4FG4HV	amplicon1	Cyclic	Positive	None detected	2
BS_2J4FG4HV	amplicon2	No amp/Invalid	None detected	None detected	0
BS_2J4FG4HV	amplicon3	Linear	None detected	None detected	0
BS_5JC116NM	amplicon1	Cyclic	Positive	None detected	1
BS_W37QBA12	amplicon1	Cyclic	Positive	None detected	2
BS_W37QBA12	amplicon2	Linear	None detected	None detected	0
BS_W37QBA12	amplicon3	Linear	None detected	None detected	0
BS_10V9SAG8	amplicon1	Cyclic	Positive	None detected	1
BS_YETTZ1NC	amplicon1	Linear	None detected	None detected	0
BS_YETTZ1NC	amplicon2	Linear	None detected	None detected	0
BS_YETTZ1NC	amplicon3	Cyclic	Positive	None detected	1
BS_YETTZ1NC	amplicon4	Cyclic	Positive	None detected	1
BS_25VZM81R	amplicon1	Cyclic	Positive	None detected	1
BS_A70G7S2W	amplicon1	Cyclic	Positive	None detected	1
BS_WH8KWW5J	amplicon1	Cyclic	Positive	None detected	1
BS_WH8KWW5J	amplicon2	Linear	None detected	None detected	0
BS_WH8KWW5J	amplicon3	Linear	None detected	None detected	0
BS_WH8KWW5J	amplicon4	Complex-non-cyclic	None detected	None detected	0
BS_WH8KWW5J	amplicon5	Linear	None detected	None detected	0
BS_WH8KWW5J	amplicon6	Linear	None detected	None detected	0
BS_4NPEMNAD	amplicon1	Cyclic	Positive	None detected	1
BS_F0GNWEJJ	amplicon1	Linear	None detected	None detected	0
BS_F0GNWEJJ	amplicon2	Linear	None detected	None detected	0
BS_F0GNWEJJ	amplicon3	Linear	None detected	None detected	0
BS_A1DV9T7G	amplicon1	Cyclic	Positive	None detected	1
BS_A1DV9T7G	amplicon2	Linear	None detected	None detected	0
BS_A1DV9T7G	amplicon3	Linear	None detected	None detected	0
BS_A1DV9T7G	amplicon4	Cyclic	Positive	None detected	1
BS_A1DV9T7G	amplicon5	Linear	None detected	None detected	0
BS_A1DV9T7G	amplicon6	Complex-non-cyclic	None detected	None detected	0
BS_A1DV9T7G	amplicon7	Linear	None detected	None detected	0
BS_69VS8PS1	amplicon1	Cyclic	Positive	None detected	1
BS_TE8QFF7T	amplicon1	Cyclic	Positive	None detected	1
BS_XJZQA3AP	amplicon1	Cyclic	Positive	None detected	1
BS_0ZR4XA69	amplicon1	Linear	None detected	None detected	0
BS_GWPJKM7G	amplicon1	Cyclic	Positive	None detected	1
BS_GWPJKM7G	amplicon2	Cyclic	Positive	None detected	1
BS_SQSH5G7A	amplicon1	Cyclic	None detected	Positive	0
PT_0DM10YSE-BS_K3F9WTAN	amplicon1	Cyclic	Positive	None detected	1
PT_19GCSK2S-BS_3KD309X6	amplicon1	Complex-non-cyclic	None detected	Positive	0
PT_19GCSK2S-BS_AH252MTC	amplicon1	Linear	None detected	None detected	0
PT_19GCSK2S-BS_FZ8D57HJ	amplicon1	Linear	None detected	None detected	0
PT_19GCSK2S-BS_GH6PH611	amplicon1	Linear	None detected	None detected	0
PT_1A4HM6FR-BS_4FKXNJHW	amplicon1	Cyclic	Positive	None detected	1
PT_23JJKZPS-BS_8GW9ZD0F	amplicon1	Complex-non-cyclic	None detected	Positive	0
PT_23JJKZPS-BS_BHK1E2GG	amplicon1	No amp/Invalid	None detected	None detected	0
PT_26V72ZXB-BS_A024WSJX	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_287JKJ5R-BS_9ANMMYJS	amplicon1	Cyclic	None detected	Positive	0
PT_288PVQGZ-BS_MTYNW7BX	amplicon1	Cyclic	Positive	None detected	1
PT_28TM5WBD-BS_ERDKHKT5	amplicon1	Cyclic	Positive	None detected	1
PT_2KB81GB1-BS_DYA4EMPF	amplicon1	Cyclic	Positive	None detected	1
PT_2KN2TFJP-BS_4ZG27R47	amplicon1	Cyclic	Positive	None detected	1
PT_2S69A6JY-BS_YMYESCY7	amplicon1	Cyclic	Positive	None detected	1
PT_2SFE7WGQ-BS_9HMAQJ93	amplicon1	Linear	None detected	None detected	0
PT_2SFE7WGQ-BS_9HMAQJ93	amplicon2	Cyclic	Positive	None detected	1
PT_2SFE7WGQ-BS_9HMAQJ93	amplicon3	Complex-non-cyclic	None detected	None detected	0
PT_2SFE7WGQ-BS_9HMAQJ93	amplicon4	No amp/Invalid	None detected	None detected	0
PT_394ZA6P7-BS_1KP6JADZ	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_394ZA6P7-BS_1KP6JADZ	amplicon2	Linear	None detected	None detected	0
PT_3AR6AW9N-BS_Z36ZZZ9N	amplicon1	Cyclic	Positive	None detected	1
PT_3WA7SBQ6-BS_2F8PFTW5	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_3WA7SBQ6-BS_XB34VS6P	amplicon1	Cyclic	Positive	None detected	1
PT_40X4TBVD-BS_W005KCS2	amplicon1	Linear	None detected	None detected	0
PT_41BCPB7R-BS_YTTPJ4RX	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_440E1XW5-BS_3Y55A2AQ	amplicon1	Cyclic	Positive	None detected	1
PT_440E1XW5-BS_E8Z367DQ	amplicon1	Cyclic	Positive	None detected	1
PT_440E1XW5-BS_F7VH8BQX	amplicon1	Cyclic	Positive	None detected	1
PT_440E1XW5-BS_MGFDE2ZH	amplicon1	Cyclic	Positive	None detected	1
PT_440E1XW5-BS_XKBT2G20	amplicon1	Cyclic	Positive	None detected	1
PT_440E1XW5-BS_Y9Q9RPNZ	amplicon1	Cyclic	Positive	None detected	1
PT_440E1XW5-BS_ZYP3XG56	amplicon1	Cyclic	Positive	None detected	1
PT_4J766Q6K-BS_95EMTN3E	amplicon1	Cyclic	Positive	None detected	1
PT_4XB3YTJM-BS_AZD61W93	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_5CYJ3NZ9-BS_7M145V8M	amplicon1	Cyclic	Positive	None detected	1
PT_5CYJ3NZ9-BS_7M145V8M	amplicon2	Complex-non-cyclic	None detected	None detected	0
PT_5CYJ3NZ9-BS_VRDQTVHR	amplicon1	Cyclic	Positive	None detected	1
PT_5CYJ3NZ9-BS_VRDQTVHR	amplicon2	Complex-non-cyclic	None detected	None detected	0
PT_5D439P2D-BS_B8TG51S6	amplicon1	Cyclic	Positive	None detected	1
PT_5D439P2D-BS_B8TG51S6	amplicon2	Cyclic	Positive	None detected	1
PT_5SKQHRC5-BS_0GS82Q3E	amplicon1	Cyclic	Positive	None detected	1
PT_5SKQHRC5-BS_0GS82Q3E	amplicon2	Cyclic	Positive	None detected	1
PT_5SKQHRC5-BS_0GS82Q3E	amplicon3	Cyclic	Positive	None detected	2
PT_5SKQHRC5-BS_0GS82Q3E	amplicon4	Linear	None detected	None detected	0
PT_5SKQHRC5-BS_0GS82Q3E	amplicon5	No amp/Invalid	None detected	None detected	0
PT_5SKQHRC5-BS_0GS82Q3E	amplicon6	No amp/Invalid	None detected	None detected	0
PT_5SKQHRC5-BS_0GS82Q3E	amplicon7	Complex-non-cyclic	None detected	None detected	0
PT_5SKQHRC5-BS_0GS82Q3E	amplicon8	Cyclic	Positive	None detected	1
PT_6H0WGQ6E-BS_R8F3DR5F	amplicon1	Cyclic	Positive	None detected	1
PT_6H0WGQ6E-BS_R8F3DR5F	amplicon2	Cyclic	Positive	None detected	1
PT_75HRTX4S-BS_7YGM7F5R	amplicon1	No amp/Invalid	None detected	None detected	0
PT_75HRTX4S-BS_7YGM7F5R	amplicon2	No amp/Invalid	None detected	None detected	0
PT_75HRTX4S-BS_7YGM7F5R	amplicon3	Linear	None detected	None detected	0
PT_75HRTX4S-BS_7YGM7F5R	amplicon4	No amp/Invalid	None detected	None detected	0
PT_75HRTX4S-BS_7YGM7F5R	amplicon5	No amp/Invalid	None detected	None detected	0
PT_75HRTX4S-BS_7YGM7F5R	amplicon6	No amp/Invalid	None detected	None detected	0
PT_75HRTX4S-BS_7YGM7F5R	amplicon7	No amp/Invalid	None detected	None detected	0
PT_7ECBYH4W-BS_7BN22JGJ	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_7WYPEC3Q-BS_KEWYG829	amplicon1	Cyclic	Positive	None detected	1
PT_7WYPEC3Q-BS_KEWYG829	amplicon2	Cyclic	Positive	None detected	1
PT_7WYPEC3Q-BS_Y7PRDGED	amplicon1	Cyclic	Positive	None detected	1
PT_7WYPEC3Q-BS_Y7PRDGED	amplicon2	Cyclic	Positive	None detected	1
PT_7Z0FF6A2-BS_2F3NJJ7V	amplicon1	Cyclic	Positive	None detected	1
PT_80Q5WFB1-BS_N3FWKZB8	amplicon1	Cyclic	Positive	None detected	1
PT_82MX6J77-BS_GBSSZBMF	amplicon1	Cyclic	None detected	Positive	0
PT_82MX6J77-BS_X3KSK1AF	amplicon1	Cyclic	Positive	None detected	1
PT_84ZTC7PV-BS_7GF5144B	amplicon1	Cyclic	Positive	None detected	1
PT_865QGR0X-BS_NTCKT2C2	amplicon1	Linear	None detected	None detected	0
PT_87HZ0PF2-BS_2296JPP5	amplicon1	Cyclic	Positive	None detected	1
PT_8S943DXT-BS_KVC8X5BX	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_8S943DXT-BS_KVC8X5BX	amplicon2	Linear	None detected	None detected	0
PT_97EQQMT9-BS_53BCKC4V	amplicon1	Cyclic	Positive	None detected	2
PT_97EQQMT9-BS_53BCKC4V	amplicon2	Cyclic	Positive	None detected	1
PT_97EQQMT9-BS_53BCKC4V	amplicon3	Cyclic	Positive	None detected	1
PT_97EQQMT9-BS_53BCKC4V	amplicon4	Cyclic	Positive	None detected	1
PT_97EQQMT9-BS_53BCKC4V	amplicon5	Complex-non-cyclic	None detected	None detected	0
PT_9A6RPJ97-BS_R1BYKPF1	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_9F58PWB3-BS_YC4RWPH3	amplicon1	Cyclic	Positive	None detected	1
PT_9HEAQ2BG-BS_SPN3A4M0	amplicon1	Linear	None detected	None detected	0
PT_9HEAQ2BG-BS_SPN3A4M0	amplicon2	Linear	None detected	None detected	0
PT_9KK0BAGK-BS_XQGE3TD3	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_9VRTZHQP-BS_YJ9N6X9G	amplicon1	No amp/Invalid	None detected	None detected	0
PT_9Z1FS69W-BS_EMAYQWCN	amplicon1	Linear	None detected	None detected	0
PT_A3N82JTH-BS_PCMHH474	amplicon1	Cyclic	Positive	None detected	1
PT_A64KYWHR-BS_XWYBVJ4R	amplicon1	Cyclic	Positive	None detected	1
PT_A64KYWHR-BS_XWYBVJ4R	amplicon2	Linear	None detected	None detected	0
PT_A64KYWHR-BS_XWYBVJ4R	amplicon3	Cyclic	Positive	None detected	1
PT_B2KF59PQ-BS_AHKEJ0E3	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_BNARR0N6-BS_7KN8003B	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_BQAR0KHK-BS_KWHEFBG0	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_BQAR0KHK-BS_KWHEFBG0	amplicon2	No amp/Invalid	None detected	None detected	0
PT_BQAR0KHK-BS_KWHEFBG0	amplicon3	Cyclic	Positive	None detected	1
PT_BQAR0KHK-BS_KWHEFBG0	amplicon4	Linear	None detected	None detected	0
PT_BQAR0KHK-BS_KWHEFBG0	amplicon5	Cyclic	Positive	None detected	1
PT_BQAR0KHK-BS_KWHEFBG0	amplicon6	Linear	None detected	None detected	0
