sample_name	amplicon_number	amplicon_decomposition_class	ecDNA+	BFB+	ecDNA_amplicons
PT_HGG8X8QE-BS_B1163H1W	amplicon23	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon24	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon25	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon26	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon27	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon28	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon29	Cyclic	Positive	None detected	1
PT_HGG8X8QE-BS_B1163H1W	amplicon2	Cyclic	Positive	None detected	4
PT_HGG8X8QE-BS_B1163H1W	amplicon30	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon31	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon32	Cyclic	Positive	None detected	1
PT_HGG8X8QE-BS_B1163H1W	amplicon33	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon34	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon35	Complex-non-cyclic	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon36	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon37	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon38	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon39	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon3	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon40	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon41	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon42	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon43	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon44	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon45	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon46	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon47	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon48	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon49	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon4	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon50	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon51	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon52	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon53	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon54	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon55	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon56	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon57	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon58	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon59	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon5	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon6	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon7	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon8	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon9	Linear	None detected	None detected	0
PT_J03YQ4V3-BS_Z0BN60RK	amplicon1	Cyclic	Positive	None detected	1
PT_JBYZJRNM-BS_BP8A42GM	amplicon1	Cyclic	Positive	None detected	1
PT_JBYZJRNM-BS_F4CJJFW1	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_JBYZJRNM-BS_F4CJJFW1	amplicon2	Complex-non-cyclic	None detected	None detected	0
PT_JBYZJRNM-BS_F4CJJFW1	amplicon3	Linear	None detected	None detected	0
PT_JBYZJRNM-BS_F4CJJFW1	amplicon4	Linear	None detected	None detected	0
PT_JBYZJRNM-BS_F4CJJFW1	amplicon5	Complex-non-cyclic	None detected	None detected	0
PT_JBYZJRNM-BS_K9VSRKD1	amplicon1	Cyclic	Positive	None detected	1
PT_JBYZJRNM-BS_VYDJK425	amplicon1	Linear	None detected	None detected	0
PT_JBYZJRNM-BS_VYDJK425	amplicon2	Linear	None detected	None detected	0
PT_JBYZJRNM-BS_VYDJK425	amplicon3	Linear	None detected	None detected	0
PT_JBYZJRNM-BS_VYDJK425	amplicon4	Linear	None detected	None detected	0
PT_JBYZJRNM-BS_VYDJK425	amplicon5	Complex-non-cyclic	None detected	None detected	0
PT_JBYZJRNM-BS_VYDJK425	amplicon6	Linear	None detected	None detected	0
PT_JBYZJRNM-BS_VYDJK425	amplicon7	Cyclic	Positive	None detected	1
PT_JBYZJRNM-BS_VYDJK425	amplicon8	Linear	None detected	None detected	0
PT_JQ8ZRKBH-BS_W3DXWFMX	amplicon1	Linear	None detected	None detected	0
PT_K2PD4VT2-BS_GM3NRFRR	amplicon10	Complex-non-cyclic	None detected	None detected	0
PT_K2PD4VT2-BS_GM3NRFRR	amplicon11	Linear	None detected	None detected	0
PT_K2PD4VT2-BS_GM3NRFRR	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_K2PD4VT2-BS_GM3NRFRR	amplicon2	Complex-non-cyclic	None detected	None detected	0
PT_K2PD4VT2-BS_GM3NRFRR	amplicon3	Linear	None detected	None detected	0
PT_K2PD4VT2-BS_GM3NRFRR	amplicon4	Complex-non-cyclic	None detected	None detected	0
PT_K2PD4VT2-BS_GM3NRFRR	amplicon5	Linear	None detected	None detected	0
PT_K2PD4VT2-BS_GM3NRFRR	amplicon6	Linear	None detected	None detected	0
PT_K2PD4VT2-BS_GM3NRFRR	amplicon7	No amp/Invalid	None detected	None detected	0
PT_K2PD4VT2-BS_GM3NRFRR	amplicon8	Linear	None detected	None detected	0
PT_K2PD4VT2-BS_GM3NRFRR	amplicon9	Linear	None detected	None detected	0
PT_KEQ53KRH-BS_A8XRT37Q	amplicon1	Linear	None detected	None detected	0
PT_KNJDVV4K-BS_GY8AVNHY	amplicon1	Cyclic	Positive	None detected	1
PT_KNJDVV4K-BS_GY8AVNHY	amplicon2	Cyclic	Positive	None detected	1
PT_KT1TR9JH-BS_MVQYCQMP	amplicon1	Linear	None detected	None detected	0
PT_KXQR3GS4-BS_551ZH7EV	amplicon1	Cyclic	Positive	None detected	1
PT_MDWPRDBT-BS_065QV76T	amplicon1	Cyclic	Positive	None detected	1
PT_MDWPRDBT-BS_4GMSE5BE	amplicon1	Cyclic	Positive	None detected	1
PT_MDWPRDBT-BS_7314XTPY	amplicon1	Cyclic	Positive	None detected	1
PT_MP85FHCR-BS_3S1JTYA2	amplicon1	Cyclic	Positive	None detected	1
PT_MP85FHCR-BS_3S1JTYA2	amplicon2	Complex-non-cyclic	None detected	None detected	0
PT_MP85FHCR-BS_3S1JTYA2	amplicon3	Cyclic	Positive	None detected	1
PT_MTVXXQTG-BS_S4CG60MW	amplicon1	Cyclic	Positive	None detected	1
PT_MWKY4TJ4-BS_J90F99EV	amplicon1	Cyclic	Positive	None detected	1
PT_MWKY4TJ4-BS_MEE1Y50H	amplicon1	Linear	None detected	None detected	0
PT_MWKY4TJ4-BS_MEE1Y50H	amplicon2	Linear	None detected	None detected	0
PT_MWKY4TJ4-BS_MEE1Y50H	amplicon3	Linear	None detected	None detected	0
PT_N13MXT13-BS_MD2R88X3	amplicon1	Linear	None detected	None detected	0
PT_PTTBTPS6-BS_B5V3KSQY	amplicon1	Cyclic	Positive	None detected	1
PT_Q5S82AA3-BS_VXAXJ87Y	amplicon1	Cyclic	Positive	None detected	1
PT_R635HCWF-BS_F26AAE9K	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_RDGW5MJE-BS_4T994QT4	amplicon1	Cyclic	Positive	None detected	1
PT_RDGW5MJE-BS_9XQVJS03	amplicon1	Cyclic	Positive	None detected	1
PT_RM8V31DA-BS_R06ABMXP	amplicon1	Cyclic	Positive	None detected	1
PT_RM8V31DA-BS_R06ABMXP	amplicon2	Cyclic	Positive	None detected	1
PT_S0Q27J13-BS_12TRHKCY	amplicon1	No amp/Invalid	None detected	None detected	0
PT_S0Q27J13-BS_G6KYSGQF	amplicon1	Cyclic	Positive	None detected	1
PT_S9YT3GSS-BS_AVMVWGX0	amplicon1	Cyclic	Positive	None detected	1
PT_SNJ1YR1R-BS_89RB2TC2	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_SY6W6B0Z-BS_ZW7VSY3Z	amplicon1	Linear	None detected	None detected	0
PT_TFCNV42Z-BS_9T43YEPA	amplicon1	Linear	None detected	None detected	0
PT_TP6GS00H-BS_3AQ7V6ZQ	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_TP6GS00H-BS_3AQ7V6ZQ	amplicon2	Linear	None detected	None detected	0
PT_TP6GS00H-BS_5FS4BERE	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_TP6GS00H-BS_5FS4BERE	amplicon2	Linear	None detected	None detected	0
PT_TWAHK62W-BS_K9APGGRV	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_TWAHK62W-BS_K9APGGRV	amplicon2	Linear	None detected	None detected	0
PT_TWAHK62W-BS_K9APGGRV	amplicon3	Complex-non-cyclic	None detected	None detected	0
PT_TWF36J8K-BS_YKB20Z8Y	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_V0C2E99Z-BS_R8820GP1	amplicon1	Cyclic	Positive	None detected	1
PT_V84GD4GT-BS_MZS6FZKF	amplicon1	Cyclic	Positive	None detected	1
PT_VKRWCBA2-BS_D1CNC603	amplicon1	Linear	None detected	None detected	0
PT_VW5Y6N97-BS_DPRBAXTR	amplicon1	Cyclic	Positive	None detected	1
PT_VW5Y6N97-BS_DPRBAXTR	amplicon2	Cyclic	Positive	None detected	1
PT_W4M7YD0J-BS_P3NDA9Z7	amplicon1	Cyclic	None detected	Positive	0
PT_WF4Q4SF2-BS_X2VRDBVG	amplicon1	Cyclic	Positive	None detected	1
PT_WF4Q4SF2-BS_X2VRDBVG	amplicon2	Cyclic	Positive	None detected	2
PT_WF4Q4SF2-BS_X2VRDBVG	amplicon3	Cyclic	Positive	None detected	1
PT_WF4Q4SF2-BS_X2VRDBVG	amplicon4	Complex-non-cyclic	None detected	None detected	0
PT_WHK1MYQG-BS_9E2FF9ZP	amplicon1	Cyclic	Positive	None detected	1
PT_WVK3PBPK-BS_9Y9BQ8Y8	amplicon1	Linear	None detected	None detected	0
PT_XHV730W9-BS_5FPTB368	amplicon1	Cyclic	Positive	None detected	1
PT_XWYNQBTK-BS_091H6TKY	amplicon1	Linear	None detected	None detected	0
PT_Y0XPQ1SZ-BS_43EZNGJ1	amplicon1	Linear	None detected	None detected	0
PT_Y5KY6KN9-BS_B5S27A0B	amplicon1	Linear	None detected	None detected	0
PT_Y5KY6KN9-BS_NE82PE7G	amplicon1	Linear	None detected	None detected	0
PT_YTZJ8K0X-BS_00GG0R70	amplicon1	Linear	None detected	None detected	0
PT_Z4BF2NSB-BS_2T4EJ6KN	amplicon1	Cyclic	Positive	None detected	1
PT_Z4BF2NSB-BS_2T4EJ6KN	amplicon2	Linear	None detected	None detected	0
PT_Z4BF2NSB-BS_537YFJ06	amplicon1	Cyclic	Positive	None detected	1
PT_Z4BF2NSB-BS_537YFJ06	amplicon2	Linear	None detected	None detected	0
PT_Z4BF2NSB-BS_ANZMQ09Q	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_Z4BF2NSB-BS_ANZMQ09Q	amplicon2	Linear	None detected	None detected	0
PT_Z4BF2NSB-BS_ANZMQ09Q	amplicon3	Cyclic	Positive	None detected	1
PT_Z4BF2NSB-BS_ANZMQ09Q	amplicon4	Linear	None detected	None detected	0
PT_Z4BF2NSB-BS_ANZMQ09Q	amplicon5	Linear	None detected	None detected	0
PT_Z4BF2NSB-BS_ANZMQ09Q	amplicon6	Linear	None detected	None detected	0
PT_Z4BF2NSB-BS_ANZMQ09Q	amplicon7	Linear	None detected	None detected	0
PT_Z4BF2NSB-BS_BF2MCS03	amplicon1	Cyclic	Positive	None detected	1
PT_Z4BF2NSB-BS_BF2MCS03	amplicon2	Linear	None detected	None detected	0
PT_Z4BF2NSB-BS_E3N4JN0X	amplicon1	Cyclic	Positive	None detected	3
PT_Z4BF2NSB-BS_E3N4JN0X	amplicon2	Linear	None detected	None detected	0
PT_Z4BF2NSB-BS_E3N4JN0X	amplicon3	No amp/Invalid	None detected	None detected	0
PT_Z4BF2NSB-BS_EJP43CD9	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_Z4BF2NSB-BS_EJP43CD9	amplicon2	Linear	None detected	None detected	0
PT_Z4BF2NSB-BS_EJP43CD9	amplicon3	Cyclic	Positive	None detected	1
PT_Z4BF2NSB-BS_M29BNE7Z	amplicon1	Cyclic	Positive	None detected	1
PT_Z4BF2NSB-BS_M29BNE7Z	amplicon2	No amp/Invalid	None detected	None detected	0
PT_Z4BF2NSB-BS_M29BNE7Z	amplicon3	No amp/Invalid	None detected	None detected	0
PT_Z4PJA6KT-BS_GW7MKKP9	amplicon1	Cyclic	Positive	None detected	1
PT_ZBHAAB3G-BS_HPVAR2P6	amplicon1	Cyclic	Positive	None detected	5
PT_ZFKQKGME-BS_PBP7633F	amplicon1	Linear	None detected	None detected	0
PT_ZKQTJ7F7-BS_QWCKETN7	amplicon1	Cyclic	Positive	None detected	1
PT_ZS2WCK6W-BS_PA5M3880	amplicon1	Cyclic	Positive	None detected	1
BS_8SYN7GXG	amplicon1	Linear	None detected	None detected	0
BS_8SYN7GXG	amplicon2	Cyclic	Positive	None detected	1
BS_8SYN7GXG	amplicon3	Linear	None detected	None detected	0
BS_3Z40EZHD	amplicon1	Cyclic	None detected	Positive	0
BS_JRFVST47	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_JRFVST47	amplicon2	Cyclic	Positive	None detected	1
BS_7GKF6M85	amplicon1	Cyclic	Positive	None detected	1
BS_FK3B5SDH	amplicon1	No amp/Invalid	None detected	None detected	0
BS_AHAXPFG3	amplicon1	Cyclic	Positive	None detected	1
BS_AHAXPFG3	amplicon2	Linear	None detected	None detected	0
BS_HEJ72V3F	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_HEJ72V3F	amplicon2	Linear	None detected	None detected	0
BS_4DQAQFQH	amplicon1	Linear	None detected	None detected	0
BS_4DQAQFQH	amplicon2	Linear	None detected	None detected	0
BS_4DQAQFQH	amplicon3	Linear	None detected	None detected	0
BS_4DQAQFQH	amplicon4	No amp/Invalid	None detected	None detected	0
BS_4DQAQFQH	amplicon5	Linear	None detected	None detected	0
BS_4DQAQFQH	amplicon6	No amp/Invalid	None detected	None detected	0
BS_TQ0J7WJQ	amplicon1	Linear	None detected	None detected	0
BS_B19AWBBW	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_JD05XR6E	amplicon1	Cyclic	Positive	None detected	1
BS_CBMAWSAR	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_CBMAWSAR	amplicon2	Complex-non-cyclic	None detected	None detected	0
BS_CBMAWSAR	amplicon3	Linear	None detected	None detected	0
BS_ZSH09N84	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_RWJ0571Q	amplicon1	Cyclic	Positive	None detected	4
BS_682Z7WH6	amplicon1	Linear	None detected	None detected	0
BS_AF5D41PD	amplicon1	Cyclic	Positive	None detected	1
BS_AF5D41PD	amplicon2	Complex-non-cyclic	None detected	None detected	0
BS_HYKV2TH9	amplicon1	Cyclic	Positive	None detected	1
BS_HYKV2TH9	amplicon2	Cyclic	Positive	None detected	2
BS_NNFDFAFM	amplicon1	Linear	None detected	None detected	0
BS_JEZBA2EW	amplicon1	Linear	None detected	None detected	0
BS_JEZBA2EW	amplicon2	Linear	None detected	None detected	0
SJACT001_D	amplicon1	Cyclic	Positive	None detected	1
SJACT001_D	amplicon2	Complex-non-cyclic	None detected	None detected	0
SJACT005_D	amplicon10	Linear	None detected	None detected	0
SJACT005_D	amplicon11	Linear	None detected	None detected	0
SJACT005_D	amplicon12	No amp/Invalid	None detected	None detected	0
SJACT005_D	amplicon13	Complex-non-cyclic	None detected	None detected	0
SJACT005_D	amplicon14	Linear	None detected	None detected	0
SJACT005_D	amplicon15	Linear	None detected	None detected	0
SJACT005_D	amplicon1	Complex-non-cyclic	None detected	None detected	0
SJACT005_D	amplicon2	Linear	None detected	None detected	0
SJACT005_D	amplicon3	No amp/Invalid	None detected	None detected	0
SJACT005_D	amplicon4	Linear	None detected	None detected	0
SJACT005_D	amplicon5	Linear	None detected	None detected	0
SJACT005_D	amplicon6	Linear	None detected	None detected	0
SJACT005_D	amplicon7	Complex-non-cyclic	None detected	None detected	0
SJACT005_D	amplicon8	No amp/Invalid	None detected	None detected	0
SJACT005_D	amplicon9	Cyclic	Positive	None detected	1
SJACT030812_D1	amplicon1	Complex-non-cyclic	None detected	None detected	0
SJACT069_D	amplicon1	Linear	None detected	None detected	0
SJACT069_D	amplicon2	Cyclic	Positive	None detected	1
SJACT069_D	amplicon3	Cyclic	Positive	None detected	1
SJACT069_D	amplicon4	Complex-non-cyclic	None detected	None detected	0
SJACT069_D	amplicon5	Linear	None detected	None detected	0
SJBT030078_D1	amplicon1	No amp/Invalid	None detected	None detected	0
SJBT030809_D1	amplicon1	Cyclic	Positive	None detected	1
SJBT030809_D1	amplicon2	Linear	None detected	None detected	0
SJHGG002_D	amplicon1	Cyclic	Positive	None detected	1
SJHGG004_D	amplicon1	Cyclic	None detected	Positive	0
SJHGG010_D	amplicon1	Linear	None detected	None detected	0
SJHGG011_D	amplicon1	Linear	None detected	None detected	0
SJHGG011_D	amplicon2	Complex-non-cyclic	None detected	None detected	0
SJHGG011_D	amplicon3	Complex-non-cyclic	None detected	None detected	0
SJHGG011_D	amplicon4	Cyclic	Positive	None detected	1
SJHGG011_D	amplicon5	Cyclic	Positive	None detected	1
SJHGG019_E	amplicon1	Linear	None detected	None detected	0
SJHGG019_E	amplicon2	Cyclic	Positive	None detected	1
SJHGG019_S	amplicon1	Cyclic	Positive	None detected	1
SJHGG019_S	amplicon2	Linear	None detected	None detected	0
SJHGG022_D	amplicon1	Linear	None detected	None detected	0
SJHGG030230_D1	amplicon1	Cyclic	Positive	None detected	1
SJHGG030230_R1	amplicon1	Cyclic	Positive	None detected	1
SJHGG044_D	amplicon1	Cyclic	Positive	None detected	1
SJHM030102_D1	amplicon1	Linear	None detected	None detected	0
SJLGG040_D	amplicon1	Cyclic	Positive	None detected	1
SJMEL030508_D1	amplicon1	Linear	None detected	None detected	0
SJMEL030604_D1	amplicon1	Complex-non-cyclic	None detected	None detected	0
SJNBL001_D	amplicon1	Complex-non-cyclic	None detected	None detected	0
SJNBL004_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL007_D	amplicon1	Linear	None detected	None detected	0
SJNBL008_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL010_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL012_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL013_D	amplicon1	Linear	None detected	None detected	0
SJNBL014_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL015_D	amplicon1	Linear	None detected	None detected	0
SJNBL016_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL017_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL019_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL021_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL023_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL027_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL030096_D1	amplicon1	Cyclic	Positive	None detected	1
SJNBL030107_D1	amplicon1	Cyclic	Positive	None detected	1
SJNBL030177_D1	amplicon1	Cyclic	Positive	None detected	1
SJNBL030820_D1	amplicon1	Cyclic	Positive	None detected	1
SJNBL030_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL031239_D1	amplicon1	Cyclic	Positive	None detected	1
SJNBL033_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL037_D	amplicon1	Linear	None detected	None detected	0
SJNBL037_D	amplicon2	Linear	None detected	None detected	0
SJNBL044_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL046_D	amplicon1	Cyclic	None detected	Positive	0
SJNBL101_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL105_D	amplicon1	Cyclic	None detected	Positive	0
SJNBL117_D	amplicon1	Cyclic	Positive	None detected	1
SJNBL124_D	amplicon1	Cyclic	Positive	Positive	1
SJNBL186_R	amplicon1	Cyclic	Positive	None detected	1
SJNBL187_R	amplicon1	Cyclic	Positive	None detected	1
SJNBL189_R	amplicon1	Cyclic	Positive	None detected	1
SJNBL191_R	amplicon1	Cyclic	Positive	None detected	1
SJNBL192_R	amplicon1	Cyclic	Positive	None detected	1
SJNBL193_R	amplicon1	Linear	None detected	None detected	0
SJNBL194_R	amplicon1	Cyclic	Positive	None detected	1
SJNBL194_R	amplicon2	Linear	None detected	None detected	0
SJNBL195_R	amplicon1	Cyclic	Positive	None detected	1
SJNBL196_R	amplicon1	Complex-non-cyclic	None detected	None detected	0
SJNBL197_R	amplicon1	Cyclic	Positive	None detected	1
SJNBL198_R	amplicon1	Cyclic	Positive	None detected	1
SJOS001101_M8	amplicon1	Linear	None detected	None detected	0
SJOS001101_M8	amplicon2	Cyclic	Positive	None detected	1
SJOS001101_M8	amplicon3	Cyclic	Positive	None detected	1
SJOS001101_M8	amplicon4	Complex-non-cyclic	None detected	None detected	0
SJOS001101_M8	amplicon5	Linear	None detected	None detected	0
SJOS001101_M8	amplicon6	Linear	None detected	None detected	0
SJOS001101_M8	amplicon7	Linear	None detected	None detected	0
SJOS001103_D1	amplicon1	Linear	None detected	None detected	0
SJOS001103_D1	amplicon2	Complex-non-cyclic	None detected	None detected	0
SJOS001103_D1	amplicon3	Linear	None detected	None detected	0
SJOS001103_D1	amplicon4	Linear	None detected	None detected	0
SJOS001103_D1	amplicon5	Linear	None detected	None detected	0
SJOS001103_D1	amplicon6	Complex-non-cyclic	None detected	None detected	0
SJOS001103_D1	amplicon7	Complex-non-cyclic	None detected	None detected	0
SJOS001104_M1	amplicon1	Cyclic	Positive	None detected	1
SJOS001104_M1	amplicon2	No amp/Invalid	None detected	None detected	0
SJOS001105_D1	amplicon1	Linear	None detected	None detected	0
SJOS001105_D1	amplicon2	Linear	None detected	None detected	0
SJOS001105_D1	amplicon3	Cyclic	Positive	None detected	2
SJOS001105_D1	amplicon4	Linear	None detected	None detected	0
SJOS001105_D1	amplicon5	Linear	None detected	None detected	0
SJOS001105_D1	amplicon6	Linear	None detected	None detected	0
SJOS001105_D1	amplicon7	Linear	None detected	None detected	0
SJOS001106_D1	amplicon1	Complex-non-cyclic	None detected	None detected	0
SJOS001106_D1	amplicon2	Linear	None detected	None detected	0
SJOS001106_D1	amplicon3	Linear	None detected	None detected	0
SJOS001106_D1	amplicon4	Complex-non-cyclic	None detected	None detected	0
SJOS001106_D1	amplicon5	Complex-non-cyclic	None detected	None detected	0
SJOS001107_M1	amplicon1	Complex-non-cyclic	None detected	None detected	0
SJOS001108_M1	amplicon1	Cyclic	Positive	None detected	1
SJOS001108_M1	amplicon2	No amp/Invalid	None detected	None detected	0
SJOS001108_M1	amplicon3	Linear	None detected	None detected	0
SJOS001109_D1	amplicon10	Complex-non-cyclic	None detected	None detected	0
SJOS001109_D1	amplicon11	Complex-non-cyclic	None detected	None detected	0
SJOS001109_D1	amplicon12	Complex-non-cyclic	None detected	None detected	0
SJOS001109_D1	amplicon1	Linear	None detected	None detected	0
SJOS001109_D1	amplicon2	Complex-non-cyclic	None detected	None detected	1
SJOS001109_D1	amplicon3	Cyclic	Positive	None detected	1
SJOS001109_D1	amplicon4	Linear	None detected	None detected	0
SJOS001109_D1	amplicon5	No amp/Invalid	None detected	None detected	0
SJOS001109_D1	amplicon6	Linear	None detected	None detected	0
SJOS001109_D1	amplicon7	Linear	None detected	None detected	0
SJOS001109_D1	amplicon8	Linear	None detected	None detected	0
SJOS001109_D1	amplicon9	Cyclic	Positive	None detected	7
SJOS001110_D1	amplicon1	Cyclic	Positive	None detected	1
SJOS001111_M1	amplicon10	Complex-non-cyclic	None detected	None detected	0
SJOS001111_M1	amplicon11	Linear	None detected	None detected	0
SJOS001111_M1	amplicon12	Complex-non-cyclic	None detected	None detected	0
SJOS001111_M1	amplicon13	Linear	None detected	None detected	0
SJOS001111_M1	amplicon14	Linear	None detected	None detected	0
SJOS001111_M1	amplicon1	Complex-non-cyclic	None detected	None detected	0
SJOS001111_M1	amplicon2	Linear	None detected	None detected	0
SJOS001111_M1	amplicon3	Cyclic	Positive	None detected	3
SJOS001111_M1	amplicon4	Cyclic	Positive	None detected	1
SJOS001111_M1	amplicon5	Linear	None detected	None detected	0
SJOS001111_M1	amplicon6	Linear	None detected	None detected	0
SJOS001111_M1	amplicon7	Linear	None detected	None detected	0
SJOS001111_M1	amplicon8	Linear	None detected	None detected	0
SJOS001111_M1	amplicon9	Linear	None detected	None detected	0
SJOS001115_D1	amplicon1	Linear	None detected	None detected	0
SJOS001115_D1	amplicon2	Linear	None detected	None detected	0
SJOS001115_D1	amplicon3	Linear	None detected	None detected	0
SJOS001115_D1	amplicon4	No amp/Invalid	None detected	None detected	0
SJOS001115_D1	amplicon5	Linear	None detected	None detected	0
SJOS001115_D1	amplicon6	Cyclic	Positive	None detected	2
SJOS001115_D1	amplicon7	Linear	None detected	None detected	0
SJOS001115_D1	amplicon8	Linear	None detected	None detected	0
SJOS001117_D1	amplicon1	Linear	None detected	None detected	0
SJOS001117_D1	amplicon2	Linear	None detected	None detected	0
SJOS001117_D1	amplicon3	Linear	None detected	None detected	0
SJOS001119_D1	amplicon1	Linear	None detected	None detected	0
SJOS001120_D1	amplicon1	Complex-non-cyclic	None detected	None detected	0
SJOS001120_D1	amplicon2	Linear	None detected	None detected	0
SJOS001120_D1	amplicon3	Linear	None detected	None detected	0
SJOS001120_D1	amplicon4	Linear	None detected	None detected	0
SJOS001120_D1	amplicon5	Cyclic	Positive	None detected	1
SJOS001120_D1	amplicon6	Linear	None detected	None detected	0
SJOS001120_D1	amplicon7	Complex-non-cyclic	None detected	None detected	0
SJOS001120_D1	amplicon8	Linear	None detected	None detected	0
SJOS001124_D1	amplicon1	Complex-non-cyclic	None detected	None detected	0
SJOS001125_D1	amplicon1	Complex-non-cyclic	None detected	None detected	0
SJOS001125_D1	amplicon2	Complex-non-cyclic	None detected	None detected	0
SJOS001125_D1	amplicon3	No amp/Invalid	None detected	None detected	0
SJOS001126_D1	amplicon1	Cyclic	Positive	None detected	1
SJOS001128_D1	amplicon1	Linear	None detected	None detected	0
SJOS001128_D1	amplicon2	Linear	None detected	None detected	0
SJOS001128_D1	amplicon3	Linear	None detected	None detected	0
SJOS001128_D1	amplicon4	Complex-non-cyclic	None detected	None detected	0
SJOS001128_D1	amplicon5	Linear	None detected	None detected	0
SJOS001128_D1	amplicon6	Cyclic	Positive	None detected	1
