feature_ID	captured_region_size_bp	median_feature_CN	max_feature_CN	borderline_flag
BS_K3F9WTAN_amplicon1_ecDNA_1	1686874	36.252738002676566	38.21080130153958	None
BS_3KD309X6_amplicon1_BFB_1	5229032	6.780914921124598	8.378490649062384	None
BS_AH252MTC_amplicon1_Linear_1	786597	5.158779638182601	5.544406971463651	None
BS_FZ8D57HJ_amplicon1_Linear_1	2705483	5.152313006086296	5.953643618178795	None
BS_GH6PH611_amplicon1_Linear_1	795303	5.563349780807025	5.563349780807025	None
BS_4FKXNJHW_amplicon1_ecDNA_1	337024	23.057119032732118	23.057119032732118	None
BS_8GW9ZD0F_amplicon1_BFB_1	2052767	6.417361237524336	7.33348892326662	LowCN
BS_A024WSJX_amplicon1_Complex-non-cyclic_1	8325908	5.451774885742562	6.633031570112357	None
BS_9ANMMYJS_amplicon1_BFB_1	818086	5.808605604742559	5.808605604742559	LowCN
BS_MTYNW7BX_amplicon1_ecDNA_1	626832	18.708456500476835	56.72167389119923	None
BS_ERDKHKT5_amplicon1_ecDNA_1	416305	11.605800354150496	12.451849537341865	None
BS_DYA4EMPF_amplicon1_ecDNA_1	325396	37.426335593952096	37.426335593952096	None
BS_4ZG27R47_amplicon1_ecDNA_1	731320	26.315633173625727	46.76003014062839	None
BS_9HMAQJ93_amplicon1_Linear_1	151091	4.913504802975834	4.913504802975834	LowCN
BS_9HMAQJ93_amplicon2_ecDNA_1	2109830	13.113046770889616	13.113046770889616	None
BS_9HMAQJ93_amplicon3_Complex-non-cyclic_1	3926274	6.06648856678971	7.143602252902483	None
BS_1KP6JADZ_amplicon1_Complex-non-cyclic_1	721272	5.330280824226358	6.457787311460471	None
BS_1KP6JADZ_amplicon2_Linear_1	416123	5.1721780314094605	5.1721780314094605	None
BS_Z36ZZZ9N_amplicon1_ecDNA_1	107522	4.2455145540258625	7.840151395789213	LowCN
BS_2F8PFTW5_amplicon1_Linear_1	494959	5.211806852144241	5.211806853056101	None
BS_2F8PFTW5_amplicon2_Linear_1	580410	6.20642471256102	6.20642471256102	None
BS_XB34VS6P_amplicon1_Linear_1	494915	4.1694459357075075	5.378610444515833	None
BS_XB34VS6P_amplicon2_Linear_1	579947	5.375669653392694	5.375669653392694	None
BS_W005KCS2_amplicon1_Linear_1	81337	5.864205890880188	5.864205890880188	None
BS_YTTPJ4RX_amplicon1_Complex-non-cyclic_1	414418	6.76048187197126	11.362163792385775	None
BS_3Y55A2AQ_amplicon1_ecDNA_1	161481	6.232176340369019	6.232176340369019	LowCN
BS_E8Z367DQ_amplicon1_ecDNA_1	161481	7.750802179956706	7.750802179956706	LowCN
BS_F7VH8BQX_amplicon1_ecDNA_1	161481	4.811252167998285	4.811252167998285	LowCN
BS_MGFDE2ZH_amplicon1_ecDNA_1	161481	4.786830656480115	4.786830656480115	LowCN
BS_XKBT2G20_amplicon1_ecDNA_1	161481	5.179808747016332	5.179808747016332	LowCN
BS_Y9Q9RPNZ_amplicon1_ecDNA_1	161481	7.495107192945257	7.495107192945257	LowCN
BS_ZYP3XG56_amplicon1_ecDNA_1	161481	5.008341467899642	5.008341467899642	LowCN
BS_95EMTN3E_amplicon1_ecDNA_1	532217	45.28664715120317	47.174543368101226	None
BS_AZD61W93_amplicon1_Complex-non-cyclic_1	86095	5.523990288288249	11.097060060419675	None
BS_7M145V8M_amplicon1_ecDNA_1	691526	12.352293659410146	12.498537174233327	None
BS_7M145V8M_amplicon2_Complex-non-cyclic_1	3535964	15.68070560745871	16.454520904560965	None
BS_VRDQTVHR_amplicon1_ecDNA_1	1827771	15.456617169826066	32.61386818285116	None
BS_VRDQTVHR_amplicon2_Complex-non-cyclic_1	3536011	12.974275880671968	17.852725668234733	None
BS_B8TG51S6_amplicon1_ecDNA_1	2499418	11.576997993645596	19.52055994186267	None
BS_B8TG51S6_amplicon2_ecDNA_1	696257	13.328079900490255	13.44144825800121	None
BS_0GS82Q3E_amplicon1_ecDNA_1	445918	9.48674881301216	10.77623536261701	None
BS_0GS82Q3E_amplicon2_ecDNA_1	753708	22.1885667470401	24.5592007284971	None
BS_0GS82Q3E_amplicon3_ecDNA_1	865135	69.81909658698896	79.45201236074844	None
BS_0GS82Q3E_amplicon3_ecDNA_2	2186097	11.192537406552416	15.606041670022295	None
BS_0GS82Q3E_amplicon4_Linear_1	2070575	4.550549802044317	5.363040572787481	None
BS_0GS82Q3E_amplicon7_Complex-non-cyclic_1	612397	4.688018148048692	4.688018148048692	LowCN
BS_0GS82Q3E_amplicon8_ecDNA_1	1533046	4.89908273938246	5.016109120674943	LowCN
BS_R8F3DR5F_amplicon1_ecDNA_1	5809433	12.451081264274459	12.671127531289105	None
BS_R8F3DR5F_amplicon2_ecDNA_1	1223325	10.107170923075932	10.132113431642034	None
BS_7YGM7F5R_amplicon3_Linear_1	68954	4.92462115501427	4.92462115501427	LowCN
BS_7BN22JGJ_amplicon1_Complex-non-cyclic_1	2459155	13.02747608778372	13.413696404086236	None
BS_KEWYG829_amplicon1_ecDNA_1	3483036	25.93877666481105	25.985222492936035	None
BS_KEWYG829_amplicon2_ecDNA_1	3966463	13.421409421431472	13.421409421431472	None
BS_Y7PRDGED_amplicon1_ecDNA_1	2350932	15.786595915577864	15.81025857839137	None
BS_Y7PRDGED_amplicon2_ecDNA_1	817427	14.384512986830687	14.384512986830687	None
BS_2F3NJJ7V_amplicon1_ecDNA_1	128203	10.06471864351611	10.06471864351611	None
BS_N3FWKZB8_amplicon1_ecDNA_1	6712117	17.23726718444915	30.801292417713107	None
